Origin,Desitnation,Distance,Driving Time,Weighted DT
200F,300,2.6,5,7
300,200F,2.6,5,7
200F,E2F,21,25,35
E2F,200F,21,25,35
E2F,SDS,3,6,8.4
SDS,200F,23,27,37.8
200F,SDS,23,27,37.8
SDS,7634,24,25,35
7634,SDS,24,25,35
200F,7634,3.5,9,12.6
7634,200F,3.5,9,12.6
200F,1380,19.1,29,40.6
1380,200F,19.1,29,40.6
1380,300,17,19,26.6
300,1380,17,19,26.6
300,SDS,23.8,29,40.6
SDS,300,23.8,29,40.6
SDS,200F,23,27,37.8
E2R,200F,21,25,35
200F,E2R,21,25,35
200R,E2R,21,25,35
E2R,200R,21,25,35
3551,E2R,5.5,10,14
E2R,3551,5.5,10,14
3551,E2F,5.5,10,14
E2F,3551,5.5,10,14
7634,3551,25.2,31,43.4
3551,7634,25.2,31,43.4
3551,200F,24.3,33,46.2
200F,3551,24.3,33,46.2
3551,200R,24.3,33,46.2
200R,3551,24.3,33,46.2
3551,SDS,2.4,5,7
SDS,3551,2.4,5,7
E2R,100,36.1,40,56
100,E2R,36.1,40,56
100,200F,15.5,27,37.8
200F,100,15.5,27,37.8
100,SDS,38.3,43,60.2
SDS,100,38.3,43,60.2
7634,E2F,22.8,26,36.4
E2F,7634,22.8,26,36.4
7634,E2R,22.8,26,36.4
E2R,7634,22.8,26,36.4
E2R,SDS,3,6,8.4
SDS,E2R,3,6,8.4
3551,E1,5.5,10,14
E1,3551,5.5,10,14
E1,200F,21.6,29,40.6
200F,E1,21.6,29,40.6
E1,SDS,3,6,8.4
SDS,E1,3,6,8.4
E2F,1380,33.9,40,56
1380,E2F,33.9,40,56
E2R,1380,33.9,40,56
1380,E2R,33.9,40,56
210,SDS,3.2,7,9.8
SDS,210,3.2,7,9.8
200F,210,27.2,32,44.8
210,200F,27.2,32,44.8
200R,210,27.2,32,44.8
210,200R,27.2,32,44.8
E1,210,6.7,12,16.8
210,E1,6.7,12,16.8
SDS,1380,35.3,40,56
1380,SDS,35.3,40,56
SDS,210,3.5,7,9.8
210,SDS,3.5,7,9.8
E1,E2R,0.2,5,7
E2R,E1,0.2,5,7
210,3551,4.1,7,9.8
3551,210,4.1,7,9.8
E2F,E1,0.2,5,7
E1,E2F,0.2,5,7
E2R,210,6.7,12,16.8
210,E2R,6.7,12,16.8
